key,value,date
CHC,199,12/31/16
CHC,171,12/31/15
CHC,157,12/31/14
CHC,172,12/31/13
CHC,137,12/31/12
CHC,148,12/31/11
CHC,149,12/31/10
CHC,161,12/31/09
CHC,184,12/31/08
CHC,151,12/31/07
CHC,166,12/31/06
CHC,194,12/31/05
CHC,235,12/31/04
CHC,172,12/31/03
CHC,200,12/31/02
CHC,194,12/31/01
CHC,183,12/31/00
CHC,189,12/31/99
CHC,212,12/31/98
CHC,127,12/31/97
CHC,175,12/31/96
CHC,158,12/31/95
CHC,109,12/31/94
CHC,161,12/31/93
CHC,104,12/31/92
CHC,159,12/31/91
CHC,136,12/31/90
CHC,124,12/31/89
CHC,113,12/31/88
CHC,209,12/31/87
CHC,155,12/31/86
CHC,150,12/31/85
BOS,208,12/31/16
BOS,161,12/31/15
BOS,123,12/31/14
BOS,178,12/31/13
BOS,165,12/31/12
BOS,203,12/31/11
BOS,211,12/31/10
BOS,212,12/31/09
BOS,173,12/31/08
BOS,166,12/31/07
BOS,192,12/31/06
BOS,199,12/31/05
BOS,222,12/31/04
BOS,238,12/31/03
BOS,177,12/31/02
BOS,198,12/31/01
BOS,167,12/31/00
BOS,176,12/31/99
BOS,205,12/31/98
BOS,184,12/31/97
BOS,209,12/31/96
BOS,175,12/31/95
BOS,120,12/31/94
BOS,114,12/31/93
BOS,84,12/31/92
BOS,126,12/31/91
BOS,106,12/31/90
BOS,108,12/31/89
BOS,124,12/31/88
BOS,174,12/31/87
BOS,144,12/31/86
BOS,162,12/31/85
NYY,183,12/31/16
NYY,212,12/31/15
NYY,147,12/31/14
NYY,144,12/31/13
NYY,245,12/31/12
NYY,222,12/31/11
NYY,201,12/31/10
NYY,244,12/31/09
NYY,180,12/31/08
NYY,201,12/31/07
NYY,210,12/31/06
NYY,229,12/31/05
NYY,242,12/31/04
NYY,230,12/31/03
NYY,223,12/31/02
NYY,203,12/31/01
NYY,205,12/31/00
NYY,193,12/31/99
NYY,207,12/31/98
NYY,161,12/31/97
NYY,162,12/31/96
NYY,122,12/31/95
NYY,139,12/31/94
NYY,178,12/31/93
NYY,163,12/31/92
NYY,147,12/31/91
NYY,147,12/31/90
NYY,130,12/31/89
NYY,148,12/31/88
NYY,196,12/31/87
NYY,188,12/31/86
NYY,176,12/31/85
CWS,168,12/31/16
CWS,136,12/31/15
CWS,155,12/31/14
CWS,148,12/31/13
CWS,211,12/31/12
CWS,154,12/31/11
CWS,177,12/31/10
CWS,184,12/31/09
CWS,235,12/31/08
CWS,190,12/31/07
CWS,236,12/31/06
CWS,200,12/31/05
CWS,242,12/31/04
CWS,220,12/31/03
CWS,217,12/31/02
CWS,214,12/31/01
CWS,216,12/31/00
CWS,162,12/31/99
CWS,198,12/31/98
CWS,158,12/31/97
CWS,195,12/31/96
CWS,146,12/31/95
CWS,121,12/31/94
CWS,162,12/31/93
CWS,110,12/31/92
CWS,139,12/31/91
CWS,106,12/31/90
CWS,94,12/31/89
CWS,132,12/31/88
CWS,173,12/31/87
CWS,121,12/31/86
CWS,146,12/31/85
STL,225,12/31/16
STL,137,12/31/15
STL,105,12/31/14
STL,125,12/31/13
STL,159,12/31/12
STL,162,12/31/11
STL,150,12/31/10
STL,160,12/31/09
STL,174,12/31/08
STL,141,12/31/07
STL,184,12/31/06
STL,170,12/31/05
STL,214,12/31/04
STL,196,12/31/03
STL,175,12/31/02
STL,199,12/31/01
STL,235,12/31/00
STL,194,12/31/99
STL,223,12/31/98
STL,144,12/31/97
STL,142,12/31/96
STL,107,12/31/95
STL,108,12/31/94
STL,118,12/31/93
STL,94,12/31/92
STL,68,12/31/91
STL,73,12/31/90
STL,73,12/31/89
STL,71,12/31/88
STL,94,12/31/87
STL,58,12/31/86
STL,87,12/31/85
